Citation,Parent Statute,Document Description,File,Entity Empowered,Triggering Event,Describe Health Emergency,State Trigger,Location,Military Involvement (Federal),Document Type,Preliminary Screening,Source,Chapter,Date Originally Published (from File),Date Last Updated (from File),PDF (from File),Note,url (from File),Funding Stream?,Funding Stream Description,Waiver Authority,"Regulations: Relevant Chapter, Section or Article",Scenarios Matrix,Plans & Strategies
33 U.S.C. § 3061,National Emergencies Act,"The President can transfer NOAA vessels, equipment, stations, and officers to a military department if he thinks it’s in the country’s best interest during a national emergency.

",National Emergencies Act,"Department of Commerce - National Oceanic and Atmospheric Administration,Department of Defense - Department of the Navy,Executive Office of the President of the United States","Natural Disaster,Act of War,Presidential Emergency Declarations,Presidential Major Disaster Declaration",N/A,No,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
35 U.S.C. § 181,National Emergencies Act,"If a patent or patent application is kept secret for national security, the secrecy order remains in effect during a war, for one year after the war ends, and during a national emergency and for six months after.






",National Emergencies Act,"Department of Defense,Department of Commerce - Patent and Trademark Office",Act of War,N/A,No,Domestic,No,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
42 U.S.C. §1320b–5,Social Security Act,"The Secretary of Health can waive provisions of the Medicare Act, HIPPA, and EMTALA ""in any emergency area and during an emergency period.""",Section 1135 - Authority to Waive Requirements During National Emergencies ,"Department of Health and Human Services - Centers for Medicare & Medicaid Services,Administration for Strategic Preparedness and Response,Department of Health and Human Services","Health Emergency,Presidential Emergency Declarations,Presidential Major Disaster Declaration","An ""emergency or disaster declared by the President pursuant to the National Emergencies Act or the Robert T. Stafford Relief and Emergency Assistance Act"" and ""a public health emergency declared by the Secretary pursuant to section 319 of the [PHSA].""",Not applicable,Both,Unclear,Legislation,Include,General Health Law,,8/14/1935,3/11/2021,1135 Waiver Authority_PHE_SSA.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/gTqdsPHmzI5iXhO2Z3yCtw/rCGBYJAOYW7Iuh7vQUIFO5jhrjiqUrQi704GIy5Yci32-1NAbjWKyJvmGjmdAfD9ZXl_F5UbHNnFGKG6y7tiaOXj9gaWHqyyjWHBi4TIeBuaXQqltUU8uD7E_VZsK686X6K8gUFNVxgSuDHuHwJC92UN-EyCX5u8QfD2lviXkxSxaTdtYdQVtcCLmRUau5_F/fQM-_f0TVt3ZcJdfQGM1anBYErm3XwPwwlqFj9rFues),,https://www.cms.gov/Medicare/Provider-Enrollment-and-Certification/SurveyCertEmergPrep/Downloads/1135-Waivers-Authority.pdf,,,,,Scenario 2,
42 U.S.C. § 1315 ,Social Security Act,"In case of any experimental, pilot, or demonstration project which is likely to assist in promoting the objectives of Medicare/Medicaid/CHIP, the Secretary may waive compliance with certain requirements of the Social Security Act. ",Section 1115 - Demonstration Projects,"Department of Health and Human Services - Centers for Medicare & Medicaid Services,Department of Health and Human Services",No triggering event - Capacity Building,No emergency event needed; power is discretionary and may be used to further program goals in any scenario,Not applicable,Domestic,No,Legislation,Include,General Health Law,,7/25/1962,9/29/2014,Section 1115.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/dLDJpY_dfedv2p8IVknICw/6DPwsxfUSYOTLSGNlKHmr5HjzqGxD-v6THMMD5bddX2HvnloxxeFAk0byGRNFGnSwTLioIQlf1ESPGsS4lGBiFl0yZsZGWSxxTQqx9_Rs80GDvqn4fFFIZjJfobkv1NqLYj2ITpbZf5K8oh7iQBl1Vi9aFWnfDI-G9x0xh2MF88/EMfBeGczqrawwDcLhd2oTrUNd0XXONiRlrRlhH9sx7g),,https://www.govinfo.gov/content/pkg/USCODE-2010-title42/pdf/USCODE-2010-title42-chap7-subchapXI-partA-sec1315.pdf,,,,,Scenario 1,
37 U.S.C. § 477,National Emergencies Act,"During a national emergency or war, members of the uniformed services can receive more than one dislocation allowance per year.",National Emergencies Act,"Department of Defense - Department of the Army,Department of Defense","Act of War,Health Emergency,Natural Disaster","Members of uniformed services may have to move due to health outbreaks or hazards in certain regions of the US, for which they may be due additional dislocation allowances.",No,Domestic,No,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
37 U.S.C. § 1009,National Emergencies Act,"The President can propose different pay adjustments if the usual formula is inappropriate due to a national emergency or serious economic conditions, but must submit a plan to Congress by September 1 of the previous year.",National Emergencies Act,"Department of Defense,Executive Office of the President of the United States","Natural Disaster,Health Emergency,Presidential Emergency Declarations","In the event of a healthcare outbreak or lockdown situation with significant economic impact, the President can alter pay adjustments to support welfare efforts.",No,Domestic,No,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
38 U.S.C. § 1721,National Emergencies Act,"The Secretary of Veterans Affairs can set rules for good conduct in VA facilities during a national emergency, excluding periods of war or specific emergencies outlined in section 8111A of title 38.",National Emergencies Act,Department of Veterans Affairs,Natural Disaster,N/A,No,Domestic,No,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
38 U.S.C. § 4303,National Emergencies Act,"The definition of ""uniformed services"" for reemployment rights includes the Armed Forces, National Guard, Public Health Service, and any other groups designated by the President during a war or national emergency.

",National Emergencies Act,Department of Defense - Department of the Army,No triggering event - Capacity Building,N/A,No,Domestic,No,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
38 U.S.C. § 8111A,National Emergencies Act,"The Secretary of Veterans Affairs can provide medical care to active-duty armed forces members during and immediately after a war or a national emergency involving armed conflict.

",National Emergencies Act,"Department of Defense - Department of the Army,Department of Veterans Affairs","Act of War,Terrorism",N/A,No,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
40 U.S.C. § 545,National Emergencies Act,"During a national emergency, the GSA can negotiate surplus property disposal contracts without public bids, but must seek as much competition as feasible.

",National Emergencies Act,General Services Administration,"Act of War,Natural Disaster,Presidential Emergency Declarations",N/A,No,Domestic,No,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
40 U.S.C. § 905,National Emergencies Act,The GSA can bypass standard procedures for real property transactions in urban areas during a national emergency declared by the President.,National Emergencies Act,General Services Administration,"Act of War,Natural Disaster,Presidential Emergency Declarations",N/A,No,Domestic,No,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
40 U.S.C. § 3147,National Emergencies Act,The President can suspend the Davis-Bacon Act’s prevailing wage requirements for federal and DC construction projects during a national emergency.,National Emergencies Act,Executive Office of the President of the United States,"Act of War,Natural Disaster,Health Emergency,Presidential Emergency Declarations,Terrorism,Presidential Major Disaster Declaration",Wages may be disrupted by varying worker availability and safety to work during the event of an outbreak or bioterrorism incident.,No,Domestic,No,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
40 U.S.C. § 8722,National Emergencies Act,"During wartime or a national emergency, the Department of Defense can skip consulting with the National Capital Planning Commission for construction within military areas in DC, except for projects that significantly affect traffic or require coordinated area planning.",National Emergencies Act,Department of Defense,"Natural Disaster,Act of War,Presidential Emergency Declarations",N/A,No,Domestic,No,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
41 U.S.C. § 1710,National Emergencies Act,Public-private competition rules for converting an agency function to contractor performance don't apply during a war or national emergency declared by the President or Congress.,National Emergencies Act,Broadly applies to any relevant federal agency,"Act of War,Natural Disaster,Terrorism,Presidential Emergency Declarations,Presidential Major Disaster Declaration",N/A,No,Domestic,No,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
41 U.S.C. § 3304,National Emergencies Act,Executive agencies can use noncompetitive contracts to keep certain suppliers ready in case of a national emergency or to mobilize industry.,National Emergencies Act,Broadly applies to any relevant federal agency,"Act of War,Natural Disaster,Terrorism,Presidential Emergency Declarations,Presidential Major Disaster Declaration",N/A,No,Domestic,No,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
42 U.S.C. § 204,National Emergencies Act,"The Public Health Service has a Ready Reserve Corps that can be involuntarily called to duty during national emergencies or public health crises, similar to military reserves.",National Emergencies Act,"Department of Health and Human Services - Public Health Service,Executive Office of the President of the United States","Natural Disaster,Presidential Emergency Declarations,Terrorism,Presidential Major Disaster Declaration,Act of War,Health Emergency",During a disease outbreak the Ready Reserve Corps can provide military assistance and resources.,No,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
42 U.S.C. § 204a,National Emergencies Act,"An ""urgent or emergency public health care need"" for deploying the Public Health Service's Commissioned Corps includes emergencies declared by the President, major disasters, or other crises deemed necessary by the Secretary.",National Emergencies Act,"Department of Defense,Executive Office of the President of the United States","Natural Disaster,Act of War,Terrorism,Presidential Emergency Declarations,Health Emergency,Presidential Major Disaster Declaration",Any urgent health emergency (could be broad) can be catered to by the PHS corps.,No,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
42 U.S.C. § 211,National Emergencies Act,"Public Health Service officers can be recommended for promotions to higher grades during a war or national emergency, even if no vacancy exists.

",National Emergencies Act,Department of Health and Human Services - Public Health Service,"Natural Disaster,Health Emergency,Act of War,Presidential Emergency Declarations,Terrorism,Presidential Major Disaster Declaration","During an outbreak, officers may be promoted to higher positions for organization purposes to better direct medical efforts.",No,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
42 U.S.C. § 300ff-83,National Emergencies Act,The Secretary of HHS can waive certain HIV program requirements during a President-declared emergency or disaster.,National Emergencies Act,Department of Health and Human Services,"Health Emergency,Presidential Emergency Declarations,Natural Disaster","If there is an HIV outbreak or other disease outbreak causing expanded or limited HIV treatment to be available, this section can be addressed.",No,Domestic,No,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
42 U.S.C. § 1320b-5,National Emergencies Act,"The Secretary of HHS can waive or modify requirements for Medicare, Medicaid, CHIP, HIPAA, and other health-related rules in response to a public health emergency and a President-declared emergency or disaster.",National Emergencies Act,Department of Health and Human Services,"Health Emergency,Presidential Emergency Declarations,Natural Disaster","If there are a large number of hospitalizations or clinic visits due to a disease outbreak, the HHS can enact this section to limit restrictions to quality care.",No,Domestic,No,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
42 U.S.C. § 4625,National Emergencies Act,The requirement to give displaced people a reasonable chance to move to a comparable dwelling is waived in a national emergency declared by the President.,National Emergencies Act,,"Health Emergency,Presidential Emergency Declarations,Act of War,Natural Disaster","Due to a geographical outbreak individuals may have to relocate, and this section lifts limitations on relocation.",No,Domestic,No,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),"*not sure about agency empowered*
",https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
42 U.S.C. § 6212a,National Emergencies Act,"The President can impose export restrictions on crude oil for up to a year if a national emergency is declared.






",National Emergencies Act,Executive Office of the President of the United States,"Act of War,Presidential Emergency Declarations,Terrorism,Presidential Major Disaster Declaration",N/A,No,International,No,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
42 U.S.C. § 5147,Stafford Act,Allows federal agencies to be reimbursed for funds appropriated for Stafford Act purposes,Stafford Act,"Broadly applies to any relevant federal agency,Executive Office of the President of the United States",Presidential Major Disaster Declaration,Presidential major disaster declaration,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,Reimburses federal agencies for expenditures under Stafford Act,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. § 5153,Stafford Act,Sets out priority for applications for funding assistance -- prioritizes areas affected by major disasters,Stafford Act,Broadly applies to any relevant federal agency,Presidential Major Disaster Declaration,Major disaster declaration,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,Provides for rules under several key federal funding streams,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. § 5155,Stafford Act,Prohibits duplication of benefits under the Stafford Act,Stafford Act,"Broadly applies to any relevant federal agency,Executive Office of the President of the United States","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Major disaster or emergency declaration,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,Regulations around receipt of funding,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. § 5158,Stafford Act,Authorizes President to provide construction materials to area affected by major disaster on an emergency basis; and to ensure fair distribution of said materials,Stafford Act,Executive Office of the President of the United States,Presidential Major Disaster Declaration,Major disaster declaration,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,Authorizes the provision of construction materials for 180 days,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
