Citation,Parent Statute,Document Description,File,Entity Empowered,Triggering Event,Describe Health Emergency,Powers Invoked,State Trigger,Location,Military Involvement (Federal),Document Type,Funding Stream?,Funding Stream Description,Waiver Authority,"Regulations and Statutes: Relevant Chapter, Section or Article",Scenarios Matrix,Preliminary Screening,Source,Chapter,Date Originally Published (from File),Date Last Updated (from File),PDF (from File),Note,url (from File),Plans & Strategies
14 U.S.C. § 2308,National Emergencies Act,The Commandant can call any retired Coast Guard enlisted member back to active duty during war or national emergencies.,National Emergencies Act,"Department of Homeland Security - Coast Guard,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War","The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President, (or under this provision, Congress too)","""Troop, Uniformed Service, or National Guard Deployment""",Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,No,,Yes,,"Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/8Bw9vGDfG5HE4Vyx5tjFYw/Fy6Noa4FFWRda9ML9nyarZk_HHZFexPaacJtZkcMDHwo03-EGQ7igbXaKLdZ9MOiErdirPfXFtQqG65U-XgQi2SzCAXppMDZVbnV0qRNBg9n3_nLJ8yJFpmzF_6Y_f8qTQVDrn0YBDE4NKYJL1C2G9b0bbnQDVKJ3WjrFR-hwmM/p4GbOkcGnEPJrvyznPW47gNz5nDty1EuBpv6V1Y38wY),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,
14 U.S.C. § 2314,National Emergencies Act,"A Coast Guard member can be kept in service for up to six months after their enlistment ends during a war or national emergency, if the President declares it necessary for national defense.",National Emergencies Act,"Department of Homeland Security - Coast Guard,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War","The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President, (or under this provision, Congress too)","""Troop, Uniformed Service, or National Guard Deployment""",Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,No,,Yes,,"Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/8Bw9vGDfG5HE4Vyx5tjFYw/Fy6Noa4FFWRda9ML9nyarZk_HHZFexPaacJtZkcMDHwo03-EGQ7igbXaKLdZ9MOiErdirPfXFtQqG65U-XgQi2SzCAXppMDZVbnV0qRNBg9n3_nLJ8yJFpmzF_6Y_f8qTQVDrn0YBDE4NKYJL1C2G9b0bbnQDVKJ3WjrFR-hwmM/p4GbOkcGnEPJrvyznPW47gNz5nDty1EuBpv6V1Y38wY),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,
14 U.S.C. § 2779,National Emergencies Act,The Secretary of the department overseeing the Coast Guard can arrange transportation to and from work for employees of a private company making materials for the Coast Guard during a war or a national emergency declared by Congress or the President.,National Emergencies Act,"Department of Homeland Security - Coast Guard,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War","The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President, (or under this provision, Congress too)",Provision of Supplies,Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,No,,No,,"Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/8Bw9vGDfG5HE4Vyx5tjFYw/Fy6Noa4FFWRda9ML9nyarZk_HHZFexPaacJtZkcMDHwo03-EGQ7igbXaKLdZ9MOiErdirPfXFtQqG65U-XgQi2SzCAXppMDZVbnV0qRNBg9n3_nLJ8yJFpmzF_6Y_f8qTQVDrn0YBDE4NKYJL1C2G9b0bbnQDVKJ3WjrFR-hwmM/p4GbOkcGnEPJrvyznPW47gNz5nDty1EuBpv6V1Y38wY),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,
14 U.S.C. § 3735,National Emergencies Act,"If there's a war or national emergency at the end of a fiscal year, the President can temporarily lift the limit on the number of officers in the Coast Guard Reserve for up to six months after the war or emergency ends.






",National Emergencies Act,"Department of Homeland Security - Coast Guard,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War","The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President, (or under this provision, Congress too)","""Troop, Uniformed Service, or National Guard Deployment"",Military Readiness",Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,No,,Yes,,"Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/8Bw9vGDfG5HE4Vyx5tjFYw/Fy6Noa4FFWRda9ML9nyarZk_HHZFexPaacJtZkcMDHwo03-EGQ7igbXaKLdZ9MOiErdirPfXFtQqG65U-XgQi2SzCAXppMDZVbnV0qRNBg9n3_nLJ8yJFpmzF_6Y_f8qTQVDrn0YBDE4NKYJL1C2G9b0bbnQDVKJ3WjrFR-hwmM/p4GbOkcGnEPJrvyznPW47gNz5nDty1EuBpv6V1Y38wY),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,
14 U.S.C. § 4903,National Emergencies Act,"If there is a war or national emergency at the end of the fiscal year, the President can temporarily lift the legal limits on the number of Coast Guard members, both military and civilian, for up to six months after the war or emergency ends.",National Emergencies Act,"Department of Homeland Security - Coast Guard,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War","The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President, (or under this provision, Congress too)","""Troop, Uniformed Service, or National Guard Deployment"",Military Readiness",Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,No,,Yes,,"Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/8Bw9vGDfG5HE4Vyx5tjFYw/Fy6Noa4FFWRda9ML9nyarZk_HHZFexPaacJtZkcMDHwo03-EGQ7igbXaKLdZ9MOiErdirPfXFtQqG65U-XgQi2SzCAXppMDZVbnV0qRNBg9n3_nLJ8yJFpmzF_6Y_f8qTQVDrn0YBDE4NKYJL1C2G9b0bbnQDVKJ3WjrFR-hwmM/p4GbOkcGnEPJrvyznPW47gNz5nDty1EuBpv6V1Y38wY),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,
16 U.S.C. § 440,National Emergencies Act,Fort McHenry can be shut down during a national emergency to be used for military purposes.,National Emergencies Act,Department of Defense - Department of the Army,"NEA Emergency Declaration,Act of War,Declaration of War","The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President, (or under this provision, Congress too)",Military Readiness,Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,No,,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/8Bw9vGDfG5HE4Vyx5tjFYw/Fy6Noa4FFWRda9ML9nyarZk_HHZFexPaacJtZkcMDHwo03-EGQ7igbXaKLdZ9MOiErdirPfXFtQqG65U-XgQi2SzCAXppMDZVbnV0qRNBg9n3_nLJ8yJFpmzF_6Y_f8qTQVDrn0YBDE4NKYJL1C2G9b0bbnQDVKJ3WjrFR-hwmM/p4GbOkcGnEPJrvyznPW47gNz5nDty1EuBpv6V1Y38wY),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,
50 U.S.C. § 1621,National Emergencies Act,"Authorizes the President to declare a national emergency with respect to ""Acts of Congress authorizing the exercise,"" provided that the proclamation is immediately transmitted to Congress and published in the Federal Register; these provisions shall remain in effect only when the President declares a national emergency and in accordance with the NEA more broadly. ",National Emergencies Act,POTUS or Executive Office of the President of the United States,"Natural Disaster,Health Emergency,Act of War,Terrorism","The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President. ",Emergency Declaration,Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,No,,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,,,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/8Bw9vGDfG5HE4Vyx5tjFYw/Fy6Noa4FFWRda9ML9nyarZk_HHZFexPaacJtZkcMDHwo03-EGQ7igbXaKLdZ9MOiErdirPfXFtQqG65U-XgQi2SzCAXppMDZVbnV0qRNBg9n3_nLJ8yJFpmzF_6Y_f8qTQVDrn0YBDE4NKYJL1C2G9b0bbnQDVKJ3WjrFR-hwmM/p4GbOkcGnEPJrvyznPW47gNz5nDty1EuBpv6V1Y38wY),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,
17 U.S.C. § 710,National Emergencies Act,"If a national emergency disrupts how copyrights are handled, the Register of Copyrights can temporarily change deadlines or rules to fix the problem. This rule, added by the CARES Act, ended on December 31, 2021.",17 USC 710 ,Congress,NEA Emergency Declaration,Limited to the COVID-19 NEA declaration,Waiver,Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,No,,Yes,,Scenario 2,,"Emergency Authorities Under the National Emergencies Act,",,10/19/1976,3/27/2020,USCODE-2023-title17-chap7-sec710.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/Qk8tEQ4XfKnyc9PCfICs6w/Vh09BnULjKK_eOa4GzZZZWFmS23cD2gg6iHM1G8LdKZxr-ZMWFpX7GH0M6_lSNMaUr-akKpBU1QMxMpx0JttEya0sy3ukRBWUBNzCJ5yv5hBmwnleggmpC4Zvbhd2Ue4LcKK3PztY7Rmf0deHe82bvHnfhDpTTVRK59wVUzvqYwuaqMfMO2FTSuzp39PvTlJ/lS_Kd1551SE2Mv6QeHX9-IfuNZKlNdIlxptwsPKbg6U),,https://www.govinfo.gov/content/pkg/USCODE-2023-title17/pdf/USCODE-2023-title17-chap7-sec710.pdf,
18 U.S.C. § 793,National Emergencies Act,"It's a crime to collect or share information that could harm U.S. national defense or benefit a foreign country, especially about places related to military activities during a national emergency or war.",National Emergencies Act,"Department of Justice - Federal Bureau of Investigation,Department of Justice","NEA Emergency Declaration,Act of War,Declaration of War","The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President, (or under this provision, Congress too)",Criminal Offense,Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,No,,No,,"Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/8Bw9vGDfG5HE4Vyx5tjFYw/Fy6Noa4FFWRda9ML9nyarZk_HHZFexPaacJtZkcMDHwo03-EGQ7igbXaKLdZ9MOiErdirPfXFtQqG65U-XgQi2SzCAXppMDZVbnV0qRNBg9n3_nLJ8yJFpmzF_6Y_f8qTQVDrn0YBDE4NKYJL1C2G9b0bbnQDVKJ3WjrFR-hwmM/p4GbOkcGnEPJrvyznPW47gNz5nDty1EuBpv6V1Y38wY),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,
18 U.S.C. § 2153,National Emergencies Act,"It's illegal to destroy military equipment, buildings, or utilities during a war or national emergency declared by the President or Congress.",National Emergencies Act,Department of Justice - Federal Bureau of Investigation,"NEA Emergency Declaration,Act of War,Declaration of War","The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President, (or under this provision, Congress too)",Criminal Offense,Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,No,,No,,"Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/8Bw9vGDfG5HE4Vyx5tjFYw/Fy6Noa4FFWRda9ML9nyarZk_HHZFexPaacJtZkcMDHwo03-EGQ7igbXaKLdZ9MOiErdirPfXFtQqG65U-XgQi2SzCAXppMDZVbnV0qRNBg9n3_nLJ8yJFpmzF_6Y_f8qTQVDrn0YBDE4NKYJL1C2G9b0bbnQDVKJ3WjrFR-hwmM/p4GbOkcGnEPJrvyznPW47gNz5nDty1EuBpv6V1Y38wY),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,
18 U.S.C. § 2154,National Emergencies Act,"If the U.S. is at war or in a national emergency, it’s illegal to produce faulty military equipment, buildings, or utilities.",National Emergencies Act,Department of Justice - Federal Bureau of Investigation,"NEA Emergency Declaration,Act of War,Declaration of War","The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President, (or under this provision, Congress too)",Criminal Offense,Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,No,,No,,"Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/8Bw9vGDfG5HE4Vyx5tjFYw/Fy6Noa4FFWRda9ML9nyarZk_HHZFexPaacJtZkcMDHwo03-EGQ7igbXaKLdZ9MOiErdirPfXFtQqG65U-XgQi2SzCAXppMDZVbnV0qRNBg9n3_nLJ8yJFpmzF_6Y_f8qTQVDrn0YBDE4NKYJL1C2G9b0bbnQDVKJ3WjrFR-hwmM/p4GbOkcGnEPJrvyznPW47gNz5nDty1EuBpv6V1Y38wY),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,
19 U.S.C. § 1318,National Emergencies Act,"When the President declares an emergency, the Secretary of the Treasury can get extra time to handle tasks from the Tariff Act of 1930 and allow duty-free imports of emergency supplies. The Secretary can also adjust Customs Service operations as needed. This role was later transferred to the Secretary of Commerce and may involve the Secretary of Homeland Security.",National Emergencies Act,Department of the Treasury,"NEA Emergency Declaration,Act of War,Declaration of War,Health Emergency","The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President, (or under this provision, Congress too)","Government Contracts,Appropriations - Emergency Response,Provision of Supplies",Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,No,,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/8Bw9vGDfG5HE4Vyx5tjFYw/Fy6Noa4FFWRda9ML9nyarZk_HHZFexPaacJtZkcMDHwo03-EGQ7igbXaKLdZ9MOiErdirPfXFtQqG65U-XgQi2SzCAXppMDZVbnV0qRNBg9n3_nLJ8yJFpmzF_6Y_f8qTQVDrn0YBDE4NKYJL1C2G9b0bbnQDVKJ3WjrFR-hwmM/p4GbOkcGnEPJrvyznPW47gNz5nDty1EuBpv6V1Y38wY),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,
31 U.S.C. § 3522,National Emergencies Act,"During a war or national emergency, the armed forces have 90 days (instead of 60) to submit financial accounts to the Comptroller General, and they can do this for up to 18 months after the war or emergency ends.",National Emergencies Act,Department of Defense - Department of the Army,"NEA Emergency Declaration,Act of War,Declaration of War","The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President, (or under this provision, Congress too)","Appropriations - Emergency Response,Government Contracts",Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,No,,Yes,,"Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d,Scenario 2",,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/8Bw9vGDfG5HE4Vyx5tjFYw/Fy6Noa4FFWRda9ML9nyarZk_HHZFexPaacJtZkcMDHwo03-EGQ7igbXaKLdZ9MOiErdirPfXFtQqG65U-XgQi2SzCAXppMDZVbnV0qRNBg9n3_nLJ8yJFpmzF_6Y_f8qTQVDrn0YBDE4NKYJL1C2G9b0bbnQDVKJ3WjrFR-hwmM/p4GbOkcGnEPJrvyznPW47gNz5nDty1EuBpv6V1Y38wY),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,
33 U.S.C. § 2293,National Emergencies Act,"The Secretary of the Army can stop or delay non-essential Army projects during a war or national emergency and use those resources for essential defense projects.

",National Emergencies Act,Department of Defense - Department of the Army,"NEA Emergency Declaration,Act of War,Declaration of War,Health Emergency","The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President, (or under this provision, Congress too)","Government Contracts,Provision of Supplies,Military Readiness",Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,No,,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/8Bw9vGDfG5HE4Vyx5tjFYw/Fy6Noa4FFWRda9ML9nyarZk_HHZFexPaacJtZkcMDHwo03-EGQ7igbXaKLdZ9MOiErdirPfXFtQqG65U-XgQi2SzCAXppMDZVbnV0qRNBg9n3_nLJ8yJFpmzF_6Y_f8qTQVDrn0YBDE4NKYJL1C2G9b0bbnQDVKJ3WjrFR-hwmM/p4GbOkcGnEPJrvyznPW47gNz5nDty1EuBpv6V1Y38wY),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,
33 U.S.C. § 2503,National Emergencies Act,"During a war or declared national emergency, public vessels can dump potentially infectious medical waste into the ocean.

",National Emergencies Act,Environmental Protection Agency,"NEA Emergency Declaration,Health Emergency,Act of War,Declaration of War","The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President, (or under this provision, Congress too)","Waiver,Quarantine",Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,No,,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/8Bw9vGDfG5HE4Vyx5tjFYw/Fy6Noa4FFWRda9ML9nyarZk_HHZFexPaacJtZkcMDHwo03-EGQ7igbXaKLdZ9MOiErdirPfXFtQqG65U-XgQi2SzCAXppMDZVbnV0qRNBg9n3_nLJ8yJFpmzF_6Y_f8qTQVDrn0YBDE4NKYJL1C2G9b0bbnQDVKJ3WjrFR-hwmM/p4GbOkcGnEPJrvyznPW47gNz5nDty1EuBpv6V1Y38wY),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,
33 U.S.C. § 3061,National Emergencies Act,"The President can transfer NOAA vessels, equipment, stations, and officers to a military department if he thinks it’s in the country’s best interest during a national emergency.

",National Emergencies Act,"Department of Commerce - National Oceanic and Atmospheric Administration,Department of Defense - Department of the Navy,POTUS or Executive Office of the President of the United States","Natural Disaster,Act of War,Presidential Emergency Declarations,Presidential Major Disaster Declaration","The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President, (or under this provision, Congress too)","Military Readiness,""Troop, Uniformed Service, or National Guard Deployment""",Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,No,,Yes,,"Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/8Bw9vGDfG5HE4Vyx5tjFYw/Fy6Noa4FFWRda9ML9nyarZk_HHZFexPaacJtZkcMDHwo03-EGQ7igbXaKLdZ9MOiErdirPfXFtQqG65U-XgQi2SzCAXppMDZVbnV0qRNBg9n3_nLJ8yJFpmzF_6Y_f8qTQVDrn0YBDE4NKYJL1C2G9b0bbnQDVKJ3WjrFR-hwmM/p4GbOkcGnEPJrvyznPW47gNz5nDty1EuBpv6V1Y38wY),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,
35 U.S.C. § 181,National Emergencies Act,"If a patent or patent application is kept secret for national security, the secrecy order remains in effect during a war, for one year after the war ends, and during a national emergency and for six months after.






",National Emergencies Act,"Department of Defense,Department of Commerce - Patent and Trademark Office","Act of War,Declaration of War","Requires a ""war"" to be declared or happening in practice. ",Waiver,Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,No,,Yes,,Scenario 3a,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/8Bw9vGDfG5HE4Vyx5tjFYw/Fy6Noa4FFWRda9ML9nyarZk_HHZFexPaacJtZkcMDHwo03-EGQ7igbXaKLdZ9MOiErdirPfXFtQqG65U-XgQi2SzCAXppMDZVbnV0qRNBg9n3_nLJ8yJFpmzF_6Y_f8qTQVDrn0YBDE4NKYJL1C2G9b0bbnQDVKJ3WjrFR-hwmM/p4GbOkcGnEPJrvyznPW47gNz5nDty1EuBpv6V1Y38wY),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,
37 U.S.C. § 1009,National Emergencies Act,"The President can propose different pay adjustments if the usual formula is inappropriate due to a national emergency or serious economic conditions, but must submit a plan to Congress by September 1 of the previous year.",National Emergencies Act,"Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War","The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President, (or under this provision, Congress too)","Waiver,Appropriations - Emergency Response",Not applicable,Undefined,Yes - Subject to Posse Comitatus,Legislation,No,,Yes,,"Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/8Bw9vGDfG5HE4Vyx5tjFYw/Fy6Noa4FFWRda9ML9nyarZk_HHZFexPaacJtZkcMDHwo03-EGQ7igbXaKLdZ9MOiErdirPfXFtQqG65U-XgQi2SzCAXppMDZVbnV0qRNBg9n3_nLJ8yJFpmzF_6Y_f8qTQVDrn0YBDE4NKYJL1C2G9b0bbnQDVKJ3WjrFR-hwmM/p4GbOkcGnEPJrvyznPW47gNz5nDty1EuBpv6V1Y38wY),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,
38 U.S.C. § 1721,National Emergencies Act,"The Secretary of Veterans Affairs can set rules for good conduct in VA facilities during a national emergency, excluding periods of war or specific emergencies outlined in section 8111A of title 38.",National Emergencies Act,Department of Veterans Affairs,Health Emergency,There must be a health emergency that does not involve war and does not trigger a major disaster declaration OR the NDMS.,Provision of Medical Care,Not applicable,Domestic,No,Legislation,No,,No,,Scenario 1,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/8Bw9vGDfG5HE4Vyx5tjFYw/Fy6Noa4FFWRda9ML9nyarZk_HHZFexPaacJtZkcMDHwo03-EGQ7igbXaKLdZ9MOiErdirPfXFtQqG65U-XgQi2SzCAXppMDZVbnV0qRNBg9n3_nLJ8yJFpmzF_6Y_f8qTQVDrn0YBDE4NKYJL1C2G9b0bbnQDVKJ3WjrFR-hwmM/p4GbOkcGnEPJrvyznPW47gNz5nDty1EuBpv6V1Y38wY),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,
38 U.S.C. § 8111A,National Emergencies Act,"The Secretary of Veterans Affairs can provide medical care to active-duty armed forces members during and immediately after a war or a national emergency involving armed conflict.

",National Emergencies Act,"Department of Defense - Department of the Army,Department of Veterans Affairs","Act of War,Declaration of War,Presidential Major Disaster Declaration,Natural Disaster",There must be an active armed conflict; a major disaster under the Stafford Act; or an event that triggers the NDMS system. ,"Provision of Medical Care,Waiver",When Stafford is trigger,Domestic,Yes - Subject to Posse Comitatus,Legislation,No,,Yes,,"Scenario 2,Scenario 3a,Scenario 3d,Scenario 3c,Scenario 3b",,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/8Bw9vGDfG5HE4Vyx5tjFYw/Fy6Noa4FFWRda9ML9nyarZk_HHZFexPaacJtZkcMDHwo03-EGQ7igbXaKLdZ9MOiErdirPfXFtQqG65U-XgQi2SzCAXppMDZVbnV0qRNBg9n3_nLJ8yJFpmzF_6Y_f8qTQVDrn0YBDE4NKYJL1C2G9b0bbnQDVKJ3WjrFR-hwmM/p4GbOkcGnEPJrvyznPW47gNz5nDty1EuBpv6V1Y38wY),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,
40 U.S.C. § 545,National Emergencies Act,"During a national emergency, the GSA can negotiate surplus property disposal contracts without public bids, but must seek as much competition as feasible.

",National Emergencies Act,General Services Administration,NEA Emergency Declaration,"The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President, (or under this provision, Congress too)",Government Contracts,Not applicable,Both,No,Legislation,No,,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/8Bw9vGDfG5HE4Vyx5tjFYw/Fy6Noa4FFWRda9ML9nyarZk_HHZFexPaacJtZkcMDHwo03-EGQ7igbXaKLdZ9MOiErdirPfXFtQqG65U-XgQi2SzCAXppMDZVbnV0qRNBg9n3_nLJ8yJFpmzF_6Y_f8qTQVDrn0YBDE4NKYJL1C2G9b0bbnQDVKJ3WjrFR-hwmM/p4GbOkcGnEPJrvyznPW47gNz5nDty1EuBpv6V1Y38wY),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,
