Citation,Parent Statute,Document Description,File,Date Originally Published (from File),Date Last Updated (from File)
18 U.S.C. § 2154,National Emergencies Act,"If the U.S. is at war or in a national emergency, it’s illegal to produce faulty military equipment, buildings, or utilities.",National Emergencies Act,9/14/1976,
19 U.S.C. § 1318,National Emergencies Act,"When the President declares an emergency, the Secretary of the Treasury can get extra time to handle tasks from the Tariff Act of 1930 and allow duty-free imports of emergency supplies. The Secretary can also adjust Customs Service operations as needed. This role was later transferred to the Secretary of Commerce and may involve the Secretary of Homeland Security.",National Emergencies Act,9/14/1976,
20 U.S.C. § 1087e,National Emergencies Act,The Department of Education can pause student loan payments for borrowers on active duty or National Guard duty during wars or national emergencies.,National Emergencies Act,9/14/1976,
20 U.S.C.§ 1098bb,National Emergencies Act,The Secretary of Education can change or waive rules for student financial aid programs if needed during wars or national emergencies to help affected individuals.,National Emergencies Act,9/14/1976,
20 U.S.C.§ 1098bb,National Emergencies Act,"An “affected individual” is someone on active duty or in the National Guard during a war or national emergency, among other criteria.",National Emergencies Act,9/14/1976,
31 U.S.C. § 3522,National Emergencies Act,"During a war or national emergency, the armed forces have 90 days (instead of 60) to submit financial accounts to the Comptroller General, and they can do this for up to 18 months after the war or emergency ends.",National Emergencies Act,9/14/1976,
33 U.S.C. § 854a-1,National Emergencies Act,"NOAA staff can be temporarily promoted or appointed in a similar way as Navy personnel during a war or national emergency, with some limits.

",National Emergencies Act,9/14/1976,
33 U.S.C. § 2293,National Emergencies Act,"The Secretary of the Army can stop or delay non-essential Army projects during a war or national emergency and use those resources for essential defense projects.

",National Emergencies Act,9/14/1976,
33 U.S.C. § 2503,National Emergencies Act,"During a war or declared national emergency, public vessels can dump potentially infectious medical waste into the ocean.

",National Emergencies Act,9/14/1976,
33 U.S.C. § 3030,National Emergencies Act,"The same rules for temporary appointments and promotions of Navy officers during a war or national emergency also apply to NOAA officers, with some exceptions.

",National Emergencies Act,9/14/1976,
33 U.S.C. § 3061,National Emergencies Act,"The President can transfer NOAA vessels, equipment, stations, and officers to a military department if he thinks it’s in the country’s best interest during a national emergency.

",National Emergencies Act,9/14/1976,
35 U.S.C. § 181,National Emergencies Act,"If a patent or patent application is kept secret for national security, the secrecy order remains in effect during a war, for one year after the war ends, and during a national emergency and for six months after.






",National Emergencies Act,9/14/1976,
42 U.S.C. §1320b–5,Social Security Act,"The Secretary of Health can waive provisions of the Medicare Act, HIPPA, and EMTALA ""in any emergency area and during an emergency period.""",Section 1135 - Authority to Waive Requirements During National Emergencies ,8/14/1935,3/11/2021
42 U.S.C. § 1315 ,Social Security Act,"In case of any experimental, pilot, or demonstration project which is likely to assist in promoting the objectives of Medicare/Medicaid/CHIP, the Secretary may waive compliance with certain requirements of the Social Security Act. ",Section 1115 - Demonstration Projects,7/25/1962,9/29/2014
37 U.S.C. § 477,National Emergencies Act,"During a national emergency or war, members of the uniformed services can receive more than one dislocation allowance per year.",National Emergencies Act,9/14/1976,
37 U.S.C. § 1009,National Emergencies Act,"The President can propose different pay adjustments if the usual formula is inappropriate due to a national emergency or serious economic conditions, but must submit a plan to Congress by September 1 of the previous year.",National Emergencies Act,9/14/1976,
38 U.S.C. § 1721,National Emergencies Act,"The Secretary of Veterans Affairs can set rules for good conduct in VA facilities during a national emergency, excluding periods of war or specific emergencies outlined in section 8111A of title 38.",National Emergencies Act,9/14/1976,
38 U.S.C. § 4303,National Emergencies Act,"The definition of ""uniformed services"" for reemployment rights includes the Armed Forces, National Guard, Public Health Service, and any other groups designated by the President during a war or national emergency.

",National Emergencies Act,9/14/1976,
38 U.S.C. § 8111A,National Emergencies Act,"The Secretary of Veterans Affairs can provide medical care to active-duty armed forces members during and immediately after a war or a national emergency involving armed conflict.

",National Emergencies Act,9/14/1976,
40 U.S.C. § 545,National Emergencies Act,"During a national emergency, the GSA can negotiate surplus property disposal contracts without public bids, but must seek as much competition as feasible.

",National Emergencies Act,9/14/1976,
40 U.S.C. § 905,National Emergencies Act,The GSA can bypass standard procedures for real property transactions in urban areas during a national emergency declared by the President.,National Emergencies Act,9/14/1976,
40 U.S.C. § 3147,National Emergencies Act,The President can suspend the Davis-Bacon Act’s prevailing wage requirements for federal and DC construction projects during a national emergency.,National Emergencies Act,9/14/1976,
40 U.S.C. § 8722,National Emergencies Act,"During wartime or a national emergency, the Department of Defense can skip consulting with the National Capital Planning Commission for construction within military areas in DC, except for projects that significantly affect traffic or require coordinated area planning.",National Emergencies Act,9/14/1976,
41 U.S.C. § 1710,National Emergencies Act,Public-private competition rules for converting an agency function to contractor performance don't apply during a war or national emergency declared by the President or Congress.,National Emergencies Act,9/14/1976,
41 U.S.C. § 3304,National Emergencies Act,Executive agencies can use noncompetitive contracts to keep certain suppliers ready in case of a national emergency or to mobilize industry.,National Emergencies Act,9/14/1976,
42 U.S.C. § 204,National Emergencies Act,"The Public Health Service has a Ready Reserve Corps that can be involuntarily called to duty during national emergencies or public health crises, similar to military reserves.",National Emergencies Act,9/14/1976,
42 U.S.C. § 204a,National Emergencies Act,"An ""urgent or emergency public health care need"" for deploying the Public Health Service's Commissioned Corps includes emergencies declared by the President, major disasters, or other crises deemed necessary by the Secretary.",National Emergencies Act,9/14/1976,
42 U.S.C. § 211,National Emergencies Act,"Public Health Service officers can be recommended for promotions to higher grades during a war or national emergency, even if no vacancy exists.

",National Emergencies Act,9/14/1976,
42 U.S.C. § 300ff-83,National Emergencies Act,The Secretary of HHS can waive certain HIV program requirements during a President-declared emergency or disaster.,National Emergencies Act,9/14/1976,
42 U.S.C. § 1320b-5,National Emergencies Act,"The Secretary of HHS can waive or modify requirements for Medicare, Medicaid, CHIP, HIPAA, and other health-related rules in response to a public health emergency and a President-declared emergency or disaster.",National Emergencies Act,9/14/1976,
42 U.S.C. § 4625,National Emergencies Act,The requirement to give displaced people a reasonable chance to move to a comparable dwelling is waived in a national emergency declared by the President.,National Emergencies Act,9/14/1976,
42 U.S.C. § 6212a,National Emergencies Act,"The President can impose export restrictions on crude oil for up to a year if a national emergency is declared.






",National Emergencies Act,9/14/1976,
42 U.S.C. § 5147,Stafford Act,Allows federal agencies to be reimbursed for funds appropriated for Stafford Act purposes,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5153,Stafford Act,Sets out priority for applications for funding assistance -- prioritizes areas affected by major disasters,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5155,Stafford Act,Prohibits duplication of benefits under the Stafford Act,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5158,Stafford Act,Authorizes President to provide construction materials to area affected by major disaster on an emergency basis; and to ensure fair distribution of said materials,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5164,Stafford Act,"President may create rules and regulations ""necessary and proper"" to carry out Act",Stafford Act,5/22/1974,3/18/2024
43 U.S.C. § 155,National Emergencies Act,The Engle Act rules for using public lands for defense don’t apply during a war or national emergency declared by the President or Congress.,National Emergencies Act,9/14/1976,
43 U.S.C. § 1341,National Emergencies Act,The Secretary of the Interior can suspend leases on the outer Continental Shelf if the Secretary of Defense recommends it during a war or national emergency declared by Congress or the President.,National Emergencies Act,9/14/1976,
46 U.S.C. § 7507,National Emergencies Act,"The Coast Guard Secretary can extend licenses or certificates of registry for up to a year during a national emergency or natural disaster.

",National Emergencies Act,9/14/1976,
46 U.S.C. § 8103,National Emergencies Act,"The President can waive citizenship requirements for officers and seamen on U.S. documented vessels during a national emergency.

",National Emergencies Act,9/14/1976,
46 U.S.C. § 8301,National Emergencies Act,"The Coast Guard Secretary can suspend the rules on the number of licensed individuals required on inspected vessels during a national emergency declared by the President.

",National Emergencies Act,9/14/1976,
46 U.S.C. § 56102,National Emergencies Act,"During a war or national emergency declared by the President, transferring control of a U.S.-owned vessel or facility to a noncitizen requires permission from the Secretary of Transportation.

",National Emergencies Act,9/14/1976,
46 U.S.C. § 56301,National Emergencies Act,"The Secretary of Transportation can take over any U.S.-owned vessel or watercraft if the President declares it necessary for national defense or during a national emergency.

",National Emergencies Act,9/14/1976,
46 U.S.C. § 57521,National Emergencies Act,"The Secretary of Transportation can end any charter of Department of Transportation vessels if the President declares it necessary for national defense or during a national emergency.






",National Emergencies Act,9/14/1976,
46 U.S.C. § 70051,National Emergencies Act,"The Secretary of Transportation can control the anchorage and movement of all vessels in U.S. waters, and take possession of them if needed, during a national emergency declared by the President. The President can also protect vessels, harbors, ports, and waterfronts from threats during such emergencies.

",National Emergencies Act,9/14/1976,
47 U.S.C. § 308,National Emergencies Act,"The FCC can skip the formal application process for permits and licenses for radio stations during a national emergency declared by the President or Congress and during wartime if needed for national defense or the war effort.

",National Emergencies Act,9/14/1976,
Executive Order  10427,,"This EO issued by Truman creates a framework for federal disaster relief for the US. The Federal Civil Defense Administrator (now FEMA) is authorized to provide assistance during major disasters, plan and coordinate for such instances, and prepare rules and regulations for engagement. This order also highlights the integral role of state and local authorities, indicating that federal financial contributions must be conditioned upon reasonable state and local expenditures. However, the order states that, in the event of a major disaster for which response cannot be delayed, federal agencies may provide immediate assistance and will be coordinated by FEMA (previously Federal Civil Defense Administrator). ",EO 10427,1/20/1953,1/20/1953
Executive Order 12127,,"This executive order creates the Federal Emergency Management Agency (FEMA), consolidating disparate federal emergency management and response entities under a single agency. The order transfers functions from other departments into FEMA and outlines the roles and responsibilities of the new agency. ",Executive Order 12127,3/31/1979,3/31/1979
47 U.S.C. § 606,National Emergencies Act,"The President can change rules for any device emitting electromagnetic radiation, close radio stations, or allow government control over them during a war, public disaster, or national emergency, with fair compensation to owners.",National Emergencies Act,9/14/1976,
Executive Order 13228,,"This EO creates the Office of Homeland Security (OHS) and the Homeland Security Council (HSC) to enhance national security coordination. The order states that the function of OHS will be to coordinate executive branch efforts to holistically prepare for and respond to terrorist threats and facilitate cooperation with other agencies and subnational jurisdictions. Additionally, this order states that, in the event of terrorist attacks, the Director of OHS will be the primary coordinator for domestic response efforts.  ",Executive Order 13228,10/8/2001,10/8/2001
Executive Order 13527,,"This EO was created to bolster the US defense to biological attack. The order established requirements to plan and prepare for provision of medical countermeasures (MCMs) to the American citizens in the event of a biological attack. The order requires interagency coordination, cooperation through levels of governance and planning for continuity of operations. Finally, the document mandates the development of a federal rapid response mechanism to dispense MCMs following a deliberate biological event.  ",Executive Order 13527,12/30/2009,12/30/2009
Executive Order 13747,,"This EO establishes the Global Health Security Agenda (GHSA) as a central initiative to the United States' mission of enhancing global capacity to prevent, detect and respond to infectious disease threats. The order states that the Department of Health and Human Services (HHS) will coordinate US governmental efforts to implement GHSA, establishes an interagency review council for policy guidance and coordination and requires an annual report be submitted by the council to the President. The order emphasizes the importance of interagency, multi-sectoral and international collaborations. ",Executive Order 13747,11/4/2016,11/4/2016
49 U.S.C. § 114,National Emergencies Act,"The TSA Administrator can coordinate all domestic transportation and manage transportation-related duties of nonmilitary federal agencies during a national emergency, but this does not override other agencies' transportation authority.",National Emergencies Act,9/14/1976,
49 U.S.C. § 47152,National emergencies Act,"The U.S. can use, control, or take possession of any part of a public airport on surplus government property during a national emergency declared by the President or Congress.",National Emergencies Act,9/14/1976,
Presidential Policy Directive 8,,"This PPD broadly directs the government to strengthen security measures across a litany of threats, including public health threats. The directive mandates the development of a national preparedness goal to secure the nation and establishes a National Preparedness System to build the capacity required for achievement of the national preparedness goal. All information regarding progress and system capacity will be included in an annual National Preparedness Report. ",Presidential Policy Directive 8,3/30/2011,3/30/2011
Presidential Policy Directive 2,,"This directive outlines measures to implement the National Strategy for Countering Biological Threats. It includes requirements for executive agencies to develop an implementation plan, guidance on submitting budgets for programs and required annual reporting on progress toward strategy implementation. The directive also established an Interagency Policy Committee to oversee and coordinate implementation. ",Presidential Policy Directive 2,11/23/2009,11/23/2009
49 U.S.C. § 5334,National Emergencies Act,"The Secretary of Transportation can regulate public transportation systems' operations, routes, or schedules if they receive certain grants, except for national defense or during a national or regional emergency.",National Emergencies Act,9/14/1976,
50 U.S.C. § 98f,National Emergencies Act,"The President can allow designated people to use, sell, or dispose of materials in the National Defense Stockpile for national defense purposes during a war declared by Congress or a national emergency.

",National Emergencies Act,9/14/1976,
50 U.S.C. § 1435,National Emergencies Act,The President's authority to modify defense contracts for national defense purposes is valid only during a national emergency declared by Congress or the President and for six months after it ends.,National Emergencies Act,9/14/1976,
National Security Presidential Directive 33,,"This directive aims to safeguard federally funded research and development from foreign interference. It strengthens disclosure requirements for federally funded awards, establishes research security programs, and implements potential violation penalties.",National Security Presidential Directive 33,4/28/2004,4/28/2004
50 U.S.C. § 1515,National Emergencies Act,"The President can suspend laws related to the production, transportation, testing, and disposal of chemical and biological warfare agents during a war or national emergency declared by Congress or the President.",National Emergencies Act,9/14/1976,
50 U.S.C. § 1701,National Emergencies Act,"The President can use the powers under the International Emergency Economic Powers Act (IEEPA) to address any major threat from outside the U.S. to national security, foreign policy, or the economy if a national emergency is declared.

",National Emergencies Act,9/14/1976,
50 U.S.C. § 1702,National Emergencies Act,"Donations of food, clothing, and medicine to relieve suffering are usually exempt from economic embargoes under IEEPA, unless the President decides that these donations would hinder handling the national emergency.

",National Emergencies Act,9/14/1976,
50 U.S.C. § 1706,National Emergencies Act,Foreign assets frozen under IEEPA can remain frozen even after the national emergency ends if needed for dealing with claims involving the country or its nationals.,National Emergencies Act,9/14/1976,
50 U.S.C. § 4309,National Emergencies Act,"The President can authorize the sale of property involved in legal claims related to national interest during a war or national emergency. The sale must follow a notice period of 30 days published in the Federal Register.

",National Emergencies Act,9/14/1976,
50 U.S.C. § 3809,National Emergencies Act,The limit on the number of armed forces personnel assigned to the Selective Service System doesn't apply during a war or national emergency declared by Congress or the President. The System must be ready to operate immediately during a national emergency.,National Emergencies Act,9/14/1976,
50 U.S.C. § 4531,National Emergencies Act,"During a national emergency declared by Congress or the President, certain conditions for the President to guarantee financing for national defense contracts under the Defense Production Act (DPA) don't apply.",National Emergencies Act,9/14/1976,
50 U.S.C. § 4532,National Emergencies Act,"The President can waive some prerequisites and the $50 million cap on direct federal loans for expanding production capacity for national defense under the DPA during a national emergency declared by Congress or the President.

",National Emergencies Act,9/14/1976,
50 U.S.C. § 4533,National Emergencies Act,"During a national emergency declared by Congress or the President, the President can waive certain conditions to use the DPA to expand production capacity and supply in private industry for national defense purposes.






",National Emergencies Act,9/14/1976,
42 U.S.C. § 5193,Stafford Act,"Federal share is 75%, and cap on single incident is $5,000,000 for single emergency",Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5196,Stafford Act,"Describes measures that may be taken for emergency preparedness, including community preparedness compacts and financial contributions to States ",Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5196a,Stafford Act,"Administrator shall give ""all practicable assistance to States in arranging... mutual emergency preparedness between the States and neighboring countries.""",Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5196b,Stafford Act,"Administrator may make ""financial contributions"" for ""necessary and essential State and local emergency preparedness personnel and administrative expenses, on the basis of approved plans... for the emergency preparedness of the States.""",Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5196c,Stafford Act,"Grants for Construction of state and local emergency operations centers
",Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5196d,Stafford Act,Funds made available to states to prepare for and respond to hazards,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5196e,Stafford Act,Creates Radiological Emergency Preparedness Fund,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5196f,Stafford Act,Makes disaster-related information services available to groups with limited English proficiency and people with disabilities,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5197,Stafford Act,Vests certain administrative authorities (including ability to hire advisory personnel) in FEMA administrator,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5197b,Stafford Act,"Use of Existing Facilities to maximum extent required - also avoid duplication of other departments or agencies
",Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5197e,Stafford Act,"Authorization of Appropriations and Transfers of Funds ""as may be necessary to carry out the provisions of this title""
",Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5204-5204b,Stafford Act,President must provide certain disaster and technical assistance via FEMA to insular areas ,Stafford Act,5/22/1974,3/18/2024
42 U.S.C. § 5206,Stafford Act,Funds appropriated must comply with Buy American policy,Stafford Act,5/22/1974,3/18/2024
Executive Order 12148,,"This EO was created consolidate disaster response under a single entity within the executive agencies. This entity, the Federal Emergency Management Agency (FEMA) was created to improve efficiency and coordination between offices tasked with responding to emergency incidents. Functions previously housed under the Department of Defense, Department of Housing and Urban Development and various other agencies were pulled into FEMA, which was broadly tasked with federal emergency preparedness, mitigation, response and recovery efforts. ",Executive Order 12148,7/20/1979,
42 U.S.C. § 217,Public Health Service Act,"Allows the President, during times of war, to utilize the Public Health Service corps to such an extent and manner necessary/as a military force. ",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 217b,Public Health Service Act,"Allows appointments to advisory committees; specifically, allows volunteer and uncompensated services to be accepted by HHS",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 234,Public Health Service Act,Limits liability for public health professionals responding to public health emergencies ,Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 236,Public Health Service Act,Establishes Orphan Products Board to promote development of drugs and devices for rare diseased and conditions,Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 239(b),Public Health Service Act,"Secretary shall ensure that State, local, or DHHS plan to vaccinate individuals complies with informed consent",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 239I(a),Public Health Service Act,"Creates Public Health Services Track, including Uniformed Services University Health Services",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 204,Public Helath Service Act,"Establishes a commissioned Regular Corps and, for service in time of a public health or national emergency, a Ready Reserve Corps.",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 204a,Public Health Service Act,Empowers Secretary to ensure the readiness of Corps components to respond to urgent or emergency public health needs,Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 204(b)-(d),Public Health Service Act,"Sets out uses, purposes, and funding for Ready Reserve Corps",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 216,Public Health Service Act,Empowers Surgeon General to promulgate regulations necessary to administer the Service,Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 231,Public Health Service Act,"Establishes service and supply fund of $250,000 without fiscal year limitation for stocking public health services",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 235,Public Health Service Act,"Empowers Secretary to promulgate regulations for grant programs under sections 242b, 246(a), 246(b), 246(c), 246(d), and 246(e)",Public Health Service Act,7/1/1944,7/2/2024
Executive Order 13911,,"This EO leverages the Defense Production Act and empowers the Secretary of Homeland Security and Health and Human Services Secretaries to more effectively respond to the COVID-19 pandemic by allowing them to guarantee loans, make purchases, and take other steps to expand domestic production of health and medical resources needed to combat COVID-19. The EO also allows the secretaries to establish voluntary agreements and advisory committees to support these efforts. ",Executive Order 13911,3/27/2020,
Executive Order 13912,,This EO empowered the Secretaries of Defense and Homeland Security to activate National Guard and Individual Ready Reserve members for up to two years to support the COVID-19 response efforts. The authority for this order is derived from 10 USC § 121 and § 12302. The order allows for the activation of up to one million members of the Reserve and will be coordinated and commanded by the secretaries of Defense and Homeland Security. ,Executive Oder 13912,3/27/2020,
Executive Order 13917,,This EO empowered the Secretary (under the Defense Production Act) to ensure the continued operation of meat and poultry processors during the COVID-19 pandemic. ,Executive Order 13917,4/28/2020,
Executive Order 13992,,This EO authorized the CEO of the United States International Development Finance Corporation to use Defense Production Act powers to support the domestic production of essential resources in response to the COVID-19 pandemic. ,Executive Order 13392,5/14/2020,
Executive Order 13941,,"This EO was intended to improve rural health and expand telehealth access as a response mechanism to challenges highlighted by the COVID-19 pandemic. The order required the Secretary of Health and Human Services (HHS) to develop and innovative payment model for such telehealth visits, and in conjunction with the Secretary of Agriculture, to develop and implement a strategy to improve physical and communications healthcare infrastructure in rural areas within the United States. Finally, HHS was tasked with proposing regulations to extend the measures implemented to increase access to telehealth services during COVID-19 beyond the emergency period. ",Executive Order 13941,8/3/2020,
Executive Order 13944,,This EO was empowered the HSS Secretary to combat the hoarding and price gouging of essential medical supplies and equipment during the COVID-19 pandemic. The order requires the US Food and Drug Administration (FDA) to create a list of essential medical countermeasures and critical inputs and the Secretary of Defense to identify vulnerabilities in the supply chain for such products. The order also focuses on increasing domestic production of critical products by directing agencies involved in product procurement to prioritize domestic production and encourage US based manufacturing of pharmaceuticals. The Environmental Protection Agency (EPA) was also tasked with streamlining requirements to facilitate and expedite the domestic production of critical inputs to these products. ,Executive Order 13944,8/6/2020,
Executive Order 13962,,"This EO empowered the Heath and Human Services (HHS) Secretary to prioritize American access to safe and effective COVID-19 vaccines developed or procured by the U.S. government. The order specifically directs the HHS to prioritize access of COVID-19 vaccines developed or procured by the US government for American citizens over other populations. The order requires that vaccines be distributed and administered in an efficient and equitable fashion. After all Americans have access to COVID-19 vaccines, the Administrator of the United States Agency for International Development (USAID) may coordinate with international partners to facilitate international access to COVID-19 vaccines. ",Executive Order 13962,12/8/2020,
Executive Order 13987,,"This EO established a new coordinated federal response to the COVID-19 pandemic by creating the positions of COVID-19 Response Coordinator and Deputy Coordinator within the Executive Office of the President, tasked with advising the President and coordinating the national response, including addressing disparities in treatment and ensuring timely vaccine distribution. ",Executive Order 13987,1/20/2021,
Executive Order 13990,,"This EO was aimed at shifting federal environment and public health policy by directing federal agencies to review and address federal regulations and actions taken during the previous four years that conflict with national objectives to improve public health and the environment (amongst other objectives).
",Executive Order 13390,1/20/2021,
Executive Order 13994,,"This EO mandated a coordinated federal response to COVID-19 by leveraging data and analytics. The Secretary of HHS was specifically tasked with examining the effectiveness and interconnectedness of public health data systems, reviewing the collection of morbidity and mortality data by state and local authorities, and providing recommendations.",Executive Order 13994,1/26/2021,
Executive Order 13996,,"This EO established the COVID-19 Pandemic Testing Board, and also empowered the Secretary of Health and Human Services to provide technical support and training to state and local health agencies to improve testing capacity for the virus.",Executive Order 13996,1/21/2021,
Executive Order 13997,,"This EO enables the Secretary of Health and Human Services, in consultation with the Director of the National Institutes of Health, to develop plans to support new studies for promising COVID-19 treatments, ensure equitable access to treatments, and coordinate with Department of Defense/the Department of Veteran's Affairs to enhance production and distribution of COVID-19 treatments in critical and long-term care facilities. ",Executive Order 13997,1/21/2021,
Executive Order 13649,,"The EO aimed to enhance the coordination and effectiveness of HIV prevention and care efforts across federal agencies. The order announces the HIV Care Continuum Initiative, which aimed to accelerate the implementation of the National HIV/AIDS Strategy by focusing on access to prophylactic care, testing, and treatment of individuals at risk of, or with active cases of, HIV/AIDS. It also designed an interagency working group on the subject housed in the Department of Health and Human Services. ",Executive Order 13649,7/13/2013,
Executive Order 13618,,"This EO was designed to create a secure and resilient communication system to be used during national security and emergency situations. The Director of the Office of Science and Technology Policy (OSTP) is tasked with overseeing efforts to reform this system and advise the President on the initiative. The order also create an Executive Committee of NS/EP Communications co-chaired by the Department of Defense (DoD) and Homeland Security (DHS), as well as a Joint Program Office under DHS to support activities related to the committee. DoD is additionally tasked with developing NS/EP communications systems that affect national security and include communications with the President, Vice President or national senior leadership. ",Executive Order 13618,7/6/2012,
Executive Order 13286,,This EO amends numerous previous executive orders to reflect the transfer of certain functions and responsibilities to the newly created Department of Homeland Security. ,Executive Order 13286,2/28/2003,
42 U.S. Code § 242c,Public Health Service Act,"Sets forth the authorities of the Centers for Disease Control, including grant making and cooperative agreement authorities",Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 242l,Public Health Service Act,Authorizes international sharing and cooperation on biomedical research,Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 242u,Public Health Service Act,"Empowers the CDC director to improve data sharing between state, local, and tribal governments and the federal government for disease preparedness",Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 242v–1,Public Health Service Act,HHS shall take into account national security concerns with information sharing and develop a comprehensive framework and set of policies for doing so,Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 242v–2,Public Health Service Act,HHS shall take steps in information sharing to protect the United States' intellectual property,Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 242v–3,Public Health Service Act,HHS shall ensure that research is not unduly subject to foreign influence in a way that undermines national security,Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 243,Public Health Service Act,"Federal government may cooperate with states for quarantine authority purposes, as well as preventing and treating communicable diseases",Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 245,Public Health Service Act,Authorizes public awareness campaign on the importance of vaccines,Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 246,Public Health Service Act,Grants and services for comprehensive health planning to states,Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 247b,Public Health Service Act,Project grants to states for preventative health services,Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 247b–6,Public Health Service Act,Public health strategy for combatting and eliminating tuberculosis,Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 247b–21,Public Health Service Act,Public health strategy regarding mosquito-borne diseases,Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 247b–23,Public Health Service Act,Institutes national strategy and regional centers of excellence in vector-borne diseases,Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 247d–4b,Public Health Service Act,Empowers the HHS Secretary to maintain internal team of experts relating to children's health during PHEs.,Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 247d–6,Public Health Service Act,Requires creation of All-hazards public health and medical response curricula and training.,Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 247d–6a,Public Health Service Act,Provides authority for use of certain procedures regarding qualified countermeasure research and development activities.,Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 247d–6d,Public Health Service Act,Creates targeted liability for pandemic and epidemic products and security countermeasures,Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 247d–6f,Public Health Service Act,Outlines procedures for the provision of medical countermeasures to Indian programs and facilities; specifically strategic national stockpile,Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 247d–7c,Public Health Service Act,Allows Secretary to provide supplies and services in lieu of assistance under 247d-7b - 247-d-7d,Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 247d–7d,Public Health Service Act,"Allows Secretary to provide technical assistance and  security to persons or facilities that conduct development, production, distribution, or storage of priority countermeasures",Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 247d–7e,Public Health Service Act,Provides authority to support the development of new biomedical technology for qualified pandemic or epidemic products,Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 247d–7f,Public Health Service Act,Regulates collaboration and coordination on advanced epidemic and pandemic biomedical products,Public Health Service Act,7/1/1944,7/2/2024
42 U.S. Code § 247d–12,Public Health Service Act,Requires HHS to ensure coordination and collaboration between relevant Federal departments and agencies related to the safety and availability of the blood supply,Public Health Service Act,7/1/1944,7/2/2024
Executive Order 12656,,"This EO ensures the continuation of essential government functions in the event of a national emergency, and outlines the responsibilities of departments in response to such an emergency. ",Executive Order 12656,11/18/1988,
Executive Order 13546,,"This EO focuses on enhancing the security of BSATs within the US, and prevents the misuse of such hazardous materials amongst research efforts. It mandates BSAT security as these toxins are a great risk to public health.",Executive Order 13546,7/2/2010,
Executive Order 13618,,This EO assigns responsibilities to various departments to ensure a coordinated response in national security and emergency preparedness (NS/EP) situations. ,Executive Order 13618,7/6/2012,
Executive Order 13732,,This EO establishes US policy on pre and post strike measures to address civilian casualties. It emphasizes the need for transparency with military operations and requires the government to take precautions to minimize civilian harm.,Executive Order 13732,7/1/2016,
Executive Order 13895,,"This EO establishes the President's Council of Advisors on Science and Technology. This council guides the federal government on science and technology related policy and emphasizes their interconnection with jobs, economic growth, and national security. ",Executive Order 13895,10/22/2019,
