Citation,Parent Statute,Document Description,File,Entity Empowered,Triggering Event,Describe Health Emergency,Powers Invoked,State Trigger,Location,Military Involvement (Federal),Document Type,Preliminary Screening,Source,Chapter,Date Originally Published (from File),Date Last Updated (from File),PDF (from File),Note,url (from File),Funding Stream?,Funding Stream Description,Waiver Authority,"Regulations and Statutes: Relevant Chapter, Section or Article",Scenarios Matrix,Plans & Strategies
42 C.F.R. § 100,Public Health Service Act,Vaccine Injury Compensation ,42 CFR 100 ,Department of Health and Human Services,No triggering event - Capacity Building,Provides compensation for people who have certain adverse effects to vaccines,Grant Programs or Appropriations (not to states),Not applicable,Domestic,No,Regulation,Include,eCFR,,7/8/1995,1/3/2022,42 CFR Part 100 (up to date as of 8-23-2024).pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/UCfLGvwCACEN0vXVMs9cdw/x6EHqIZIo-ujQInexyvahRwRPbpOUkDpbL9KzgktdLTQnprQFNZL1Npdsa03xQNUm2U5YJDToAnUBu_WXzSwNb1qupolaGTXbURfBpC6gsO_MXgmwbXwqiUgSL1E9E1liUf5VGGajryQtnrjs2Vf2UHXleHQB0ufwytfn8NeQ_s5zu-kTR5j-U3c-k3xqcEt/2ECQDtA93VUw0-5ag4vY6H3CVCTE5GQJN55153e6z_o),,https://www.ecfr.gov/current/title-42/chapter-I/subchapter-J/part-100,Yes,Provides reimbursement to individuals based on certain characteristics of their side effects to vaccines,No,"* § 100.2 - Average cost of a health insurance policy
* § 100.3 - Vaccine injury table","Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 C.F.R. § 124,Public Health Service Act,Medical Facility Construction and Modernization,42 CFR 124,Department of Health and Human Services,No triggering event - Capacity Building,No emergency required - part of emergency preparedness and basic public health regulations,Health and Safety Regulations,Not applicable,Domestic,No,Regulation,Include,eCFR,,12/9/1977,5/27/2022,42 CFR Part 124 (up to date as of 8-23-2024).pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/UOkc6e-XYmF7XmSuzX8bzw/n2JZJ92Uxd6yYJ5TjZQgVhkxRuhqDkZmf_SLAj6bAQy5zx0YWwPJ8ugcwUPMBDVJlTLofjgAhulpypzey0xs1Fm2xXkLzf2vIlW2HhU_szfriUvZcU_73LWI7V6JYdA3qNHqG5EzIBUgwMRU7XMqKcKLApR7j1WHV1B3Gn_yiGhaPVwosB6aAzYU5aMJl5fq/r3kDSj7jobcCm-bosUxADdLy-7tf-Ic5AwAoctpASL0),,https://www.ecfr.gov/current/title-42/chapter-I/subchapter-K/part-124,Yes,Project grants for public medical facility construction nd modernization ,No,"*  §§ 124.1-11 - Project grants for public medical facility construction and modernization
*  §§ 124.501-518 - Reasonable volume of uncompensated services to persons unable to pay 
*  §§ 124.601-607 - Community service","Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 C.F.R. § 136a,Public Health Service Act ,Indian Health ,42 CFR 136a,"Department of Health and Human Services - Public Health Service,Department of Health and Human Services,Indian Health Service,Department of the Interior",No triggering event - Capacity Building,"Provides the framework for Indian Health Service, including jurisdictional requirements; does not require a public health emergency",Financial Assistance to states or Tribal Nations,Not applicable,Domestic,No,Regulation,Include,eCFR,,5/17/2002,1/3/2017,42 CFR Part 136a (up to date as of 8-23-2024).pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/5x24w92LngF_EqpfRx3sig/s7aOwmAOk1g5jDhig5S200aoE4XfX2qBdBJcSb_gP8e4nSnrro_e6rhjmZSv6OT4mV-DwPMh2KYpRAy8CH49JD21odd5Pju3wAFkRxamAZQc8L-NzBmz0uwV8BWL6skUOu75aKS8J76nlB71ZYCcxXEYNwr1ZJWs_QhzOX6blUvwIsxQ-yQJA3v20EX-8Xf-/piky4-wX_k7PEGjwokBJkbdNJroKhEy9kiQU2Nq2GZA),,https://www.ecfr.gov/current/title-42/chapter-I/subchapter-M/part-136a,Yes,Provides funding mechanisms and reimbursement for services provided by the Indian Health Service to eligible individuals; provides conditions on federal funding to eligible persons,No,"* § 136a.10 - Definitions
* § 136a.11 - Services available
* § 136a.12 - Persons to whom health services will be provided
* § 136a.13 - Authorization for contract health services
* § 136a.15 - Health Service Delivery Areas
* § 136a.34 - Care and treatment of people losing eligibility ","Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d,Scenario 2,Scenario 1",
42 C.F.R. § 110 ,Public Health Service Act ,Countermeasures Injury Compensation Program,42 C.F.R. 110 ,Department of Health and Human Services,PHSA Emergency Declaration,"There must have been a PHSA emergency declaration, and the vaccine must be a ""covered countermeasure"" that was ""administered or used pursuant to the terms of a declaration, or in good belief of such""",Grant Programs or Appropriations (not to states),Not applicable,Domestic,No,Regulation,Include,eCFR,,10/15/2010,9/15/2021,42 CFR Part 110 (up to date as of 8-23-2024).pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/WHDgT5oHat-RdtHJ0zs7ZQ/M-Zv13TP_oz3PSFzRcDliq3h-5J0b52QmfthqC8eQTE3QID87HtwH_qRiGvUOssrq97LcOXraB7fNZ_ox8vzWkk6U7Ejz3dIbFox9Uvn4UWG8xutzpGFWKAlkkdxG0-ddtrjTudQ-CDpSnNEhRJHkls9OHWUdZfznVyXlMSgE83HsOtNmTvnHc9xg5DRQ_Y1/3kvPA5trYhDgB5BnzPXfiTtROIGdz0cwBNDT5IBpr_c),,https://www.ecfr.gov/current/title-42/chapter-I/subchapter-J/part-110,Yes,Provides reimbursement to individuals based on certain characteristics of their side effects to vaccines,No,"* § 110.2 - Summary of available benefits
* § 110.3 - Definitions 
* §110.20 - How to establish a covered injury 
* § 110.3 - Available benefits 
* § 110.7 - Secretarial Determinations
* § 110.100. - Injury Tables","Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 204,Public Health Service Act,"Establishes a commissioned Regular Corps and, for service in time of a public health or national emergency, a Ready Reserve Corps.",Public Health Service Act,Department of Health and Human Services,"No triggering event - Capacity Building,Presidential Emergency Declarations","The Regular Corps can be commissioned at any time, whereas, the Ready Reserve Corps may only be activated in time of an emergency","""Troop, Uniformed Service, or National Guard Deployment"",Provision of Medical Care,Movement of Medical Personnel",Not applicable,Domestic,Public Health Corps,Legislation,Include,PHSA,,7/1/1944,7/2/2024,COMPS-8773.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/U_WTB2imXSCeDNH71fS4kA/Ijf4NNgwuPSjgU6SIBuAqHXlgojpbqjPVrU1X84IXCC8sUzkUlG72gFoHvLPK9WDkfO2jhjVwDicIb3TBcgcCL_PduFPhE_hoszAjoyiVPV4oJoHAEW-1FKYB5RMTUyKxHe_xglqGAtLSjaUWMDkXQ/jmkSwGZfnq1plmXgehywYKz4tLHHNyDnOYddX5EAzhk),,https://www.govinfo.gov/content/pkg/COMPS-8773/pdf/COMPS-8773.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
10 U.S.C. § 12302,Ready Reserve,Authorizes Secretary of Defense to call reserve to active duty for not more than 24 consecutive month; prescribes rules and consideration to be given in deciding which members are called to servicee.,10 U.S.C. 12302,Department of Defense,NEA Emergency Declaration,"Must be a ""national emergency declared by the President after January 1, 1953"" or where otherwise authorized by law. ","""Troop, Uniformed Service, or National Guard Deployment""",Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,Include,PNNL,,8/10/1956,12/31/2011,USCODE-2023-title10-subtitleE-partII-chap1209-sec12302.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/hozQy1DqPAwviQDKYGD4RA/8Y4s9bqb9XGTKul3vpIp1AD78s7x6hDnR0pLBkSqq1TTcKHMEuBy_cT9-PjM5-K03JZDULBABpF3NQqJ6f_BvhhkQAAC2tKqgR1HHPOJwYmmMQFVZ5F6G3X2uDQGTYqLt31rcxSuu7vYqYFcRfw05xBLb7b3YUHjgdEQ05Npd3qqqr-gRpjUR7_6z_3xCOHmD7RGpje55TM4PHc0OejHwn1TRbOyCV8HnFETx10uxoU/4SUMsxBF9Z8lPwUoibeh4ZyWsJRvNXkNPnZ9PLTYHmU),,https://www.govinfo.gov/content/pkg/USCODE-2023-title10/pdf/USCODE-2023-title10-subtitleE-partII-chap1209-sec12302.pdf,No,,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
21 C.F.R. § 1240,Regulations Under Certain Other Acts Administered by the Food and Drug Administration,Control of Communicable Diseases,21 C.F.R. § 1240,Food and Drug Administration,No triggering event - Capacity Building,Part of emergency preparedness and public health preservation,Health Surveillance,Not applicable,Both,No,Regulation,Include,eCFR,,2/6/1975,,CFR-2024-title21-vol8-part1240.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/8puiERmfMqXgjkKx8PrV6w/33CSW4uPhv0jK3FlgjdAnzd2xTjXrekD3XzNJcYdJxAmSJ5N7b71rSzM_cBoMhW0AtaYHWs2iSB2k2135SvOaOJprJO2amtZRX1DOM9BHuYyaZ-JERwLHQdQePzNVlkwjs2m0_GCFRCgfUphUCEx4cxlYWUU2WI4z_eaPjkZabtKm6agcZQjFxjnneyYAYN3/Fha6fEIYZCd3vXhRXxN8CKPhnl2SSM9_uLmy3t59yZk),,https://govinfo.gov/content/pkg/CFR-2024-title21-vol8/pdf/CFR-2024-title21-vol8-part1240.pdf,No,,No,"* § 1240.10 - Effective bactericidal treatment
* § 1240.30 - Measures in the event of inadequate local control
* §1240.45 - Report of Disease ","Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d,Scenario 1",
10 U.S.C. § 10102,Reserve Components,"Specifies that the purpose of reserve components is to provide trained units and qualified persons in time of war or national emergency or ""at such other times as the national security may require.""",10 U.S.C. 10102,Department of Defense,No triggering event - Capacity Building,,"""Troop, Uniformed Service, or National Guard Deployment""",Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,Include,PNNL,,10/5/1994,10/28/2004,USCODE-2023-title10-subtitleE-partI-chap1003-sec10102.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/HliPMqgynDblefTr3vYZsw/fOxbMg3BynO3_OeUVCoktfUeAC1yod8xBYKJ-O7dDSH4RJY9VdCEhqO-I8mbPLYKyhGCwiy_IQsUsxp0Vp6hMoebN6MP0dKr2EZV1IX-C4P__8ucj4m9BVrcKZnqeBN8zOxE0JNAIvbJt5TR8iEVe3eAfoI7Ulw-p7fYSw_N35XmMaTa-yC5yuiSqaV2cuULtr5YDhzq-Cw24Qp1FTKIHA/gzxzbuLxu45X4gB8_vpDRkV2HsIEOjOt3mvtiYr9grA),,https://www.govinfo.gov/content/pkg/USCODE-2023-title10/pdf/USCODE-2023-title10-subtitleE-partI-chap1003-sec10102.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 1302,Rules and regulations; impact analyses of Medicare and Medicaid rules and regulations on small rural hospitals,"Empowers the Secretary of the Treasury, the Secretary of Labor, and the Secretary of HHS to make and publish rules and regulations regarding participation in Medicare and Medicaid for small rural hospitals. ",USC Title 42,"Department of Labor,Department of Health and Human Services,Department of the Treasury",No triggering event - Capacity Building,N/A,"Health and Safety Regulations,Provision of Medical Care",Not applicable,Domestic,No,Legislation,Include,General Health Law,,7/1/1944,12/13/2016,USCODE-2011-title42.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/SfPILJuIk_VYuzhFEzkWJA/ZZeM_lNstqgibjr-vS6nsgJQ6oI171-Qn6FeQC7MZFeSaduyE6WkmoUn-xHhXwLAFaBVy8HFTrvJt2wg2Lyvo4tXKi59IlY8BZek2hisYuGAIs6PEbvVsHCoLeKeDlciDZwmDtdLnpCKbD4NfE84DUXhHFwLMt6iDrob0o3geF0/cY2tuNnlT8f3L_t4Gi9QdyGHfzLSxF7uyLvdCm0TERw),,https://www.govinfo.gov/content/pkg/USCODE-2016-title42/pdf/USCODE-2016-title42.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. §1320b–5,Social Security Act,"The Secretary of Health can waive provisions of the Medicare Act, HIPPA, and EMTALA ""in any emergency area and during an emergency period.""",Section 1135 - Authority to Waive Requirements During National Emergencies ,"Department of Health and Human Services - Centers for Medicare & Medicaid Services,Administration for Strategic Preparedness and Response,Department of Health and Human Services","NEA Emergency Declaration,PHSA Emergency Declaration,Presidential Major Disaster Declaration","Section 1135 waivers may either be triggered by a combination of an NEA national emergency declaration AND a PHSA declaration OR a ""major disaster"" declaration under the Stafford Act. ",Waiver,No,Domestic,Unclear,Legislation,Include,General Health Law,,8/14/1935,3/11/2021,1135 Waiver Authority_PHE_SSA.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/BAgkHRc2gWv3sNM-U2eSEg/pFeDATQGiDiwIAcoQGPk9RdbSDfXawRbOTibhYwXrDyf61fjUwZaXZxotwPVqNIaHL0wzdI9zi47g0YxbeXynr7hTh7cRZ7fi6tbqjI0rNWGgrw9ZKlKtbXjmK3lXUQpmVcyz8CI-f6QbrHTEly9vrShExcXEsY2SXifbNDnOGpNyH2iXI8xCtImmHLOGEyK/WRXUVh0ZxsR0FwfQGaAdlCmqwKrB8Xu-uRxXjC5f3bY),,https://www.cms.gov/Medicare/Provider-Enrollment-and-Certification/SurveyCertEmergPrep/Downloads/1135-Waivers-Authority.pdf,No,,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 1315 ,Social Security Act,"In case of any experimental, pilot, or demonstration project which is likely to assist in promoting the objectives of Medicare/Medicaid/CHIP, the Secretary may waive compliance with certain requirements of the Social Security Act. ",Section 1115 - Demonstration Projects,"Department of Health and Human Services - Centers for Medicare & Medicaid Services,Department of Health and Human Services",No triggering event - Capacity Building,No emergency event needed; power is discretionary and may be used to further program goals in any scenario,Waiver,Not applicable,Domestic,No,Legislation,Include,General Health Law,,7/25/1962,9/29/2014,Section 1115.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/uY-GdY2RpaQd2f7H7E7CEg/BIPm5FvceGAnbnt9xLi-5pYgYDq_faeV7q9TRonPQIzDIAFiYQrovjd6-M4UBydmVjDrx9tMCQzsFYMY0PNgsVh-KARusFZ5JTxGQFnMDAiuEmh2oatsPmFhWfJK_k88cxbec7zmio4uKAvG2u8hUn5w5SmbPngZR7l2qbHd-3U/cz5OfBNdq9fPFEogvIS5MsKuf5jcpn6GjHj1bRPDkGI),,https://www.govinfo.gov/content/pkg/USCODE-2010-title42/pdf/USCODE-2010-title42-chap7-subchapXI-partA-sec1315.pdf,Yes,"States may shift money around in innovative ways for an 1115 waiver; however, they must maintain overall budget neutrality. ",Yes,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 5122,Stafford Act,"Defines ""emergency"" and ""major disaster"" for the purposes of the Stafford Act",Stafford Act,"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Natural Disaster,Health Emergency,Act of War,Terrorism","An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.",Emergency Declaration,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/HBmT7aLelKbzu2j7WaOvwQ/vN5ZcLPb_-Em_VDTRBja4sL6JHNaTJjtlKInmnxSfo92UI_LSIukha4xignWY8Z4SVfSalKKqGbPDQgKGrRHc8m1ctMvNIzgaMD91wTYsU10Icvspqw9JoGIw3CT0WOmvmV0jLa8hRRkaYZdrSxGRHkSkUm-kgGHkOPFbweuWmw/KV6LYT_TI-IoFlr4zjiIG5fOndilrl368E47J2sieeg),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.SC. § 5131(a),Stafford Act,"Authority to create disaster preparedness programs that utilize ""all appropriate agencies"" to engage in planning and R&D. ",Stafford Act,"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",No triggering event - Capacity Building,"No emergency required; part of disaster preparedness
","Research and Development,Strategies and General Preparedness Efforts",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/HBmT7aLelKbzu2j7WaOvwQ/vN5ZcLPb_-Em_VDTRBja4sL6JHNaTJjtlKInmnxSfo92UI_LSIukha4xignWY8Z4SVfSalKKqGbPDQgKGrRHc8m1ctMvNIzgaMD91wTYsU10Icvspqw9JoGIw3CT0WOmvmV0jLa8hRRkaYZdrSxGRHkSkUm-kgGHkOPFbweuWmw/KV6LYT_TI-IoFlr4zjiIG5fOndilrl368E47J2sieeg),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,Reimbursement of agencies for disaster programs,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. § 1531(b)-(d),Stafford Act,Provides for technical assistance and grants to states to develop and maintain comprehensive preparation plans and programs for disaster preparedness; harm reduction; and recovery.,Stafford Act,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States",No triggering event - Capacity Building,No emergency required; part of disaster preparedness,"Financial Assistance to states or Tribal Nations,State plan requirement",Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/HBmT7aLelKbzu2j7WaOvwQ/vN5ZcLPb_-Em_VDTRBja4sL6JHNaTJjtlKInmnxSfo92UI_LSIukha4xignWY8Z4SVfSalKKqGbPDQgKGrRHc8m1ctMvNIzgaMD91wTYsU10Icvspqw9JoGIw3CT0WOmvmV0jLa8hRRkaYZdrSxGRHkSkUm-kgGHkOPFbweuWmw/KV6LYT_TI-IoFlr4zjiIG5fOndilrl368E47J2sieeg),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,"$250,000 grant to states to develop ""plans, programs, and capabilities for disaster preparedness and prevention"" to states.",No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 1532,Stafford Act,"Requires appropriate warnings about disasters to state and local officials through warning systems, technical assistance to states, and agreements with commercial communications systems.",Stafford Act,"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Communications Commission","Presidential Emergency Declarations,Presidential Major Disaster Declaration","An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.",Communications,Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/HBmT7aLelKbzu2j7WaOvwQ/vN5ZcLPb_-Em_VDTRBja4sL6JHNaTJjtlKInmnxSfo92UI_LSIukha4xignWY8Z4SVfSalKKqGbPDQgKGrRHc8m1ctMvNIzgaMD91wTYsU10Icvspqw9JoGIw3CT0WOmvmV0jLa8hRRkaYZdrSxGRHkSkUm-kgGHkOPFbweuWmw/KV6LYT_TI-IoFlr4zjiIG5fOndilrl368E47J2sieeg),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 5134,Stafford Act,Establishes interagency task force for the purpose of coordinating the implementation of pre disaster hazard mitigation programs administered by the USFG,Stafford Act,"Federal Emergency Management Agency,Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States",No triggering event - Capacity Building,No emergency required; part of disaster preparedness,Strategies and General Preparedness Efforts,Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/HBmT7aLelKbzu2j7WaOvwQ/vN5ZcLPb_-Em_VDTRBja4sL6JHNaTJjtlKInmnxSfo92UI_LSIukha4xignWY8Z4SVfSalKKqGbPDQgKGrRHc8m1ctMvNIzgaMD91wTYsU10Icvspqw9JoGIw3CT0WOmvmV0jLa8hRRkaYZdrSxGRHkSkUm-kgGHkOPFbweuWmw/KV6LYT_TI-IoFlr4zjiIG5fOndilrl368E47J2sieeg),Unclear which agencies to code this for; also whether domestic or international,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 5141,Stafford Act,"Allows any federal agency charged with administering a Federal assistance program to modify or waive administrative conditions for assistance due to a ""major disaster""",Stafford Act,"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,"An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.",Waiver,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/HBmT7aLelKbzu2j7WaOvwQ/vN5ZcLPb_-Em_VDTRBja4sL6JHNaTJjtlKInmnxSfo92UI_LSIukha4xignWY8Z4SVfSalKKqGbPDQgKGrRHc8m1ctMvNIzgaMD91wTYsU10Icvspqw9JoGIw3CT0WOmvmV0jLa8hRRkaYZdrSxGRHkSkUm-kgGHkOPFbweuWmw/KV6LYT_TI-IoFlr4zjiIG5fOndilrl368E47J2sieeg),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,No,,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 5143(a)-(b),Stafford Act,President will appoint a Federal coordinating officer when declaring major disaster or emergency,Stafford Act,"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,"An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.",Mission Assignment/Response Coordination,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/HBmT7aLelKbzu2j7WaOvwQ/vN5ZcLPb_-Em_VDTRBja4sL6JHNaTJjtlKInmnxSfo92UI_LSIukha4xignWY8Z4SVfSalKKqGbPDQgKGrRHc8m1ctMvNIzgaMD91wTYsU10Icvspqw9JoGIw3CT0WOmvmV0jLa8hRRkaYZdrSxGRHkSkUm-kgGHkOPFbweuWmw/KV6LYT_TI-IoFlr4zjiIG5fOndilrl368E47J2sieeg),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,"Attaches localities to the ""administration of relief"" and allows the executive branch to ""take other action"" that is ""necessary to assist local citizens and public officials in promptly obtaining assistance to which they are entitled.""",No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 5143 (c)-(d),Stafford Act,Allows President to either request that governor of affected state provide state coordinating officer or appoint single federal coordinating officer for multi-state area,Stafford Act,"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Presidential Major Disaster Declaration,Presidential Emergency Declarations","An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.",Mission Assignment/Response Coordination,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/HBmT7aLelKbzu2j7WaOvwQ/vN5ZcLPb_-Em_VDTRBja4sL6JHNaTJjtlKInmnxSfo92UI_LSIukha4xignWY8Z4SVfSalKKqGbPDQgKGrRHc8m1ctMvNIzgaMD91wTYsU10Icvspqw9JoGIw3CT0WOmvmV0jLa8hRRkaYZdrSxGRHkSkUm-kgGHkOPFbweuWmw/KV6LYT_TI-IoFlr4zjiIG5fOndilrl368E47J2sieeg),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,Connects affected areas to State and local disaster assistance efforts,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. § 5144,Stafford Act,Requires President to form emergency support teams of federal personnel to be deployed in area affected by major disaster or emergency,Stafford Act,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States","Presidential Major Disaster Declaration,Presidential Emergency Declarations","An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.","Movement of Medical Personnel,""Troop, Uniformed Service, or National Guard Deployment""",Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/HBmT7aLelKbzu2j7WaOvwQ/vN5ZcLPb_-Em_VDTRBja4sL6JHNaTJjtlKInmnxSfo92UI_LSIukha4xignWY8Z4SVfSalKKqGbPDQgKGrRHc8m1ctMvNIzgaMD91wTYsU10Icvspqw9JoGIw3CT0WOmvmV0jLa8hRRkaYZdrSxGRHkSkUm-kgGHkOPFbweuWmw/KV6LYT_TI-IoFlr4zjiIG5fOndilrl368E47J2sieeg),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,"Provides federal agency support ""on either a reimbursable or non reimbursable basis""",No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
